treatment,metric,max_deviation,max_deviation_day,resistance,peak_response,t_max_days,return_time_days,elasticity,settling_time_days,overshoot,overshoot_pct,auc_burden,steady_state_error,rise_time_days,final_value,initial_value
anti_inflammatory,wound_closure_pct,100.0,0.0,0.01,100.0,25.833333333333332,25.833333333333332,3.870967741935484,25.833333333333332,100.0,100.0,1378.472125,0.0,22.916666666666664,100.0,0.0
anti_inflammatory,mean_infl_wound,0.501711,2.0833333333333335,1.9931793402975018,0.501711,2.0833333333333335,39.58333333333333,0.012674804210526318,41.666666666666664,0.5016564306,99.98912333993076,3.748412638125,5.45694e-05,,5.45694e-05,0.0
anti_inflammatory,mean_collagen_wound,0.28055,0.0,3.564427018356799,0.28055,21.25,19.166666666666668,0.014637391304347826,20.0,0.0,0.0,7.848718750000004,,10.000000000000002,0.28055,0.0
anti_inflammatory,mean_perfusion_wound,1.0,0.0,1.0,0.410378,11.666666666666666,4.583333333333333,0.2181818181818182,35.0,0.339443,33.9443,26.950520333333348,0.6605570000000001,3.333333333333333,0.339443,0.0
anti_inflammatory,scar_magnitude,0.902306,41.666666666666664,1.1082714733139312,0.902306,41.666666666666664,,,18.333333333333332,0.0,0.0,31.469389450000005,0.902306,,0.902306,0.0
anti_inflammatory,n_neutrophils,10.0,2.0833333333333335,0.1,10.0,2.0833333333333335,5.833333333333334,1.7142857142857142,7.916666666666667,10.0,100.0,42.083333333333336,0.0,,0.0,0.0
anti_inflammatory,mean_mmp_wound,0.611809,3.3333333333333335,1.6344970407431076,0.611809,3.3333333333333335,37.916666666666664,0.01613562197802198,41.666666666666664,0.61041643,99.77238484559723,5.087702672916669,0.00139257,,0.00139257,0.0
anti_inflammatory,mean_fibronectin_wound,0.44244500000000003,0.0,2.2601679304772344,0.66722,7.916666666666667,0.8333333333333334,0.530934,35.0,0.31014800000000003,46.48361859656485,18.361361041666672,,2.0833333333333335,0.357072,0.224775
anti_inflammatory_doxycycline,wound_closure_pct,100.0,0.0,0.01,100.0,27.916666666666668,27.916666666666668,3.5820895522388057,27.916666666666668,100.0,100.0,1345.485845833332,0.0,24.166666666666668,100.0,0.0
anti_inflammatory_doxycycline,mean_infl_wound,0.468251,2.0833333333333335,2.135606757914025,0.468251,2.0833333333333335,39.58333333333333,0.011829498947368422,41.666666666666664,0.46817826659999995,99.98446700594339,3.4728578234166676,7.27334e-05,,7.27334e-05,0.0
anti_inflammatory_doxycycline,mean_collagen_wound,0.91365,0.0,1.0945110271985992,0.91365,21.25,18.333333333333332,0.049835454545454544,19.166666666666668,0.0,0.0,25.39934375000002,,8.749999999999998,0.91365,0.0
anti_inflammatory_doxycycline,mean_perfusion_wound,1.0,0.0,1.0,0.414167,11.666666666666666,4.583333333333333,0.2181818181818182,34.583333333333336,0.339476,33.9476,26.88197554166667,0.660524,3.333333333333333,0.339476,0.0
anti_inflammatory_doxycycline,scar_magnitude,0.836396,41.666666666666664,1.1956059091626454,0.836396,41.666666666666664,,,19.166666666666668,0.0,0.0,29.200802962499996,0.836396,,0.836396,0.0
anti_inflammatory_doxycycline,n_neutrophils,9.0,1.6666666666666667,0.1111111111111111,9.0,1.6666666666666667,4.583333333333333,1.9636363636363638,6.25,9.0,100.0,32.49999999999999,0.0,,0.0,0.0
anti_inflammatory_doxycycline,mean_mmp_wound,0.161026,2.5,6.210177238458385,0.161026,2.5,39.166666666666664,0.004111302127659575,41.666666666666664,0.16101725409,99.99456863487885,1.4987950618979176,8.74591e-06,,8.74591e-06,0.0
anti_inflammatory_doxycycline,mean_fibronectin_wound,0.508327,0.0,1.9672376245999132,0.733102,5.0,0.8333333333333334,0.6099924,36.666666666666664,0.352441,48.07530193615622,20.785403749999997,,0.8333333333333333,0.380661,0.224775
anti_inflammatory_doxycycline_growth_factor,wound_closure_pct,100.0,0.0,0.01,100.0,19.583333333333332,19.583333333333332,5.1063829787234045,19.583333333333332,100.0,100.0,1168.402679166667,0.0,16.25,100.0,0.0
anti_inflammatory_doxycycline_growth_factor,mean_infl_wound,0.470308,1.6666666666666667,2.126266191517048,0.470308,1.6666666666666667,40.0,0.0117577,41.666666666666664,0.4702863339,99.9953932104068,3.271756836354166,2.16661e-05,,2.16661e-05,0.0
anti_inflammatory_doxycycline_growth_factor,mean_collagen_wound,0.69535,0.0,1.438124685410225,0.69535,21.25,18.333333333333332,0.03792818181818182,19.583333333333332,0.0,0.0,19.822718750000032,,9.583333333333332,0.69535,0.0
anti_inflammatory_doxycycline_growth_factor,mean_perfusion_wound,1.0,0.0,1.0,0.414027,11.25,4.583333333333333,0.2181818181818182,35.416666666666664,0.34902,34.902,26.66576304166667,0.65098,3.333333333333333,0.34902,0.0
anti_inflammatory_doxycycline_growth_factor,scar_magnitude,0.785933,41.666666666666664,1.272373090327038,0.785933,41.666666666666664,,,16.25,0.0,0.0,27.823173783333335,0.785933,,0.785933,0.0
anti_inflammatory_doxycycline_growth_factor,n_neutrophils,8.0,1.6666666666666667,0.125,8.0,1.6666666666666667,5.0,1.6,6.666666666666667,8.0,100.0,34.16666666666667,0.0,,0.0,0.0
anti_inflammatory_doxycycline_growth_factor,mean_mmp_wound,0.167177,2.0833333333333335,5.981684083336823,0.167177,2.0833333333333335,39.58333333333333,0.004223418947368421,41.666666666666664,0.16716398159999998,99.99221280439295,1.2888373284583325,1.30184e-05,,1.30184e-05,0.0
anti_inflammatory_doxycycline_growth_factor,mean_fibronectin_wound,0.466292,0.0,2.144578933372222,0.691067,5.416666666666667,0.8333333333333334,0.5595504,35.416666666666664,0.310031,44.86265441701022,20.474151875000008,,0.8333333333333333,0.381036,0.224775
anti_inflammatory_doxycycline_growth_factor_hbo,wound_closure_pct,100.0,0.0,0.01,100.0,21.666666666666668,21.666666666666668,4.615384615384615,21.666666666666668,100.0,100.0,1164.9302541666666,0.0,17.916666666666668,100.0,0.0
